title,body,labels
"Workorder: Define core entities (Estimate, WorkOrder, Invoice, Warranty)","Define Moqui entities and relationships for all major work execution objects.","domain:workexec, moqui-base, ai:clarification"
"Workorder: Validate state machines","Align Draft→Approved→InProgress→Completed→Invoiced transitions with domain rules.","domain:workexec, ai:clarification"
"Workorder: Implement Estimate creation service","CreateEstimate service in Moqui including validation and pricing hooks.","domain:workexec, moqui-base"
"Workorder: Promote Estimate to WorkOrder","Implement transition with initial WorkOrderItem creation.","domain:workexec, moqui-base"
"Workorder: Implement WorkOrder item management","AddItem, RemoveItem services; ensure pricing and inventory linking.","domain:workexec, moqui-base"
"Workorder: Experience API – createEstimateForCustomerVehicle()","Experience-layer orchestration for initial estimate creation.","domain:workexec, experience"
"Workorder: Experience API – getWorkOrderDetail()","Expose full DTO for UI and MCP.","domain:workexec, experience"
"Workorder: Experience API – completeWorkOrder()","Complete service including validations and mechanic steps.","domain:workexec, experience"
"Workorder: Experience API – generateInvoice()","Orchestration across Product, Inventory, and Accounting.","domain:workexec, experience"
"Workorder: Integrate Inventory reservation (X-Domain)","Call Inventory experience API to reserve parts.","domain:workexec, experience, domain:inventory"
"Workorder: Integrate Pricing lookup (X-Domain)","Call Product pricing API to populate Estimate.","domain:workexec, domain:product, experience"
"Workorder: Implement scheduling model","Handle mechanic, bay, mobile unit assignments.","domain:workexec, moqui-base"
"Workorder: Roadside Service stubbed flow","ERS request entity + Positivity stub requests.","domain:workexec, positivity"
"Workorder: Warranty claim stub","Implement WarrantyCase fields + stub submission to Positivity.","domain:workexec, positivity"
"Workorder: Full E2E regression test (AI)","AI-generated tests for Estimate→WO→Invoice.","domain:workexec, ai:regression"
"Workorder: Provide DTOs to UI team","Define TypeScript models for estimate + WO + invoice.","domain:workexec, ui"
"Workorder: Provide MCP tools","Define MCP actions: Create Estimate, Add Item, Summarize WO.","domain:workexec, mcp"
"Inventory: Define core entities (InventoryItem, Location, Receipt, Reservation)","Create Moqui entity definitions for inventory structures.","domain:inventory, moqui-base"
"Inventory: Implement receiving service","Handle incoming goods CRUD and adjustments.","domain:inventory, moqui-base"
"Inventory: Implement reservation service","ReserveStock and ReleaseStock services for WOs.","domain:inventory, moqui-base"
"Inventory: Experience API – checkAvailability()","Expose availability snapshots.","domain:inventory, experience"
"Inventory: Experience API – reserveInventoryForWorkOrder()","Reserve items via orchestration.","domain:inventory, experience"
"Inventory: Add location-aware availability","Enhance availability by warehouse/bin.","domain:inventory"
"Inventory: Distributor availability via Positivity stub","X-Domain call for external distributor inventory.","domain:inventory, positivity"
"Inventory: Regression test availability (AI)","Ensure that Product and Inventory schema stay aligned.","domain:inventory, ai:regression"
"Product: Define Product, ServiceOperation, PriceList entities","Create Moqui entity definitions for catalog & pricing.","domain:product, moqui-base"
"Product: Implement pricing lookup service","Base service for part/service lookup.","domain:product, moqui-base"
"Product: Experience API – getEffectivePrice()","DTO for UI and Work Execution.","domain:product, experience"
"Product: Experience API – getServiceCatalog()","List of service ops for UI and MCP.","domain:product, experience"
"Product: Integrate tire/OEM lookup via Positivity","Stub call for tire fitment or recommended services.","domain:product, positivity"
"Product: AI validation – Price propagation (AI)","Ensure pricing flows into Estimate & Invoice correctly.","domain:product, ai:regression"
"CRM: Define Customer + Vehicle + Fleet entities","Create Moqui definitions for CRM objects.","domain:crm, moqui-base"
"CRM: Implement CreateCustomer, LookupCustomer services","CRUD customer records.","domain:crm, moqui-base"
"CRM: Implement AddVehicle, LookupVehicle","CRUD vehicle records and queries.","domain:crm, moqui-base"
"CRM: Experience API – lookupCustomer()","Add fuzzy-search and multi-field lookup.","domain:crm, experience"
"CRM: Experience API – getVehiclesForCustomer()","Return normalized vehicle list.","domain:crm, experience"
"CRM: VIN decode via Positivity stub","Use Positivity vehicle façade as enrichment layer.","domain:crm, positivity"
"CRM: Regression test vehicle lookup (AI)","AI validates CRM consistency.","domain:crm, ai:regression"
"Accounting: Define ARTransaction + Payment entities","Minimal entities for prototype.","domain:accounting, moqui-base"
"Accounting: Implement postInvoice service","Create ARTransaction.","domain:accounting, moqui-base"
"Accounting: Implement recordPayment service","Support simple payment capture.","domain:accounting, moqui-base"
"Accounting: Experience API – postInvoice()","DTO mapping for UI, Work Exec.","domain:accounting, experience"
"Accounting: Experience API – recordPayment()","Used by UI + MCP.","domain:accounting, experience"
"Accounting: Experience API – getCustomerBalance()","Supports UI + CRM.","domain:accounting, experience"
"Accounting: Regression test AR lifecycle (AI)","AI validation for end-to-end AR.","domain:accounting, ai:regression"
"ShopMgmt: Define Mechanic, Bay, MobileUnit entities","Create definitions for shop resources.","domain:shopmgmt, moqui-base"
"ShopMgmt: Implement scheduling services","Assign mechanic/bay.","domain:shopmgmt, moqui-base"
"ShopMgmt: Experience API – getScheduledJobs()","DTO for UI + Mobile.","domain:shopmgmt, experience"
"ShopMgmt: Experience API – assignMechanic()","Support WO scheduling.","domain:shopmgmt, experience"
"ShopMgmt: Regression test scheduling logic (AI)","Check resource conflicts.","domain:shopmgmt, ai:regression"
"Positivity: Define stubbed integration façade","Create Positivity entities + configs.","domain:positivity"
"Positivity: Implement Vehicle façade stub","Return canned VIN metadata.","domain:positivity"
"Positivity: Implement Tire/OEM façade stub","Return canned tire specs or recommendations.","domain:positivity"
"Positivity: Implement Parts distributor façade stub","Canned inventory data.","domain:positivity"
"Positivity: Integrate stubs with Experience Layer","Ensure all external calls use Positivity.","domain:positivity, experience"
"Positivity: AI mock generation","Use AI to generate realistic stub responses.","domain:positivity, ai:scaffolding"
"UI: Create Service Writer screens (Estimate, WO, Invoice)","High-level UI workflows.","domain:ui"
"UI: Create Mobile Mechanic screens (Assigned Jobs, Steps)","Minimal prototype flows.","domain:ui-mobile"
"UI: Integrate Experience API DTOs (TypeScript models)","Consume all experience APIs.","domain:ui, experience"
"UI: Regression testing with mocked data (AI)","Test UI stability against DTO drift.","domain:ui, ai:regression"
"MCP: Define MCP tools (Estimate, AddItem, Summaries)","Align with Work Exec experience APIs.","domain:mcp"
"MCP: Implement MCP → Experience calls","Use orchestrated services only.","domain:mcp, experience"
"MCP: Conversation test generation (AI)","AI-driven MCP test cases.","domain:mcp, ai:regression"
